sentID.BTEC,split,lang,sent
5,corpus-6-test-corpus-26-train,MOS,هو هنوك، بالضبط قدام مكتب المعلومات السياحيي.
9,corpus-6-test-corpus-26-train,MOS,ابد ما كن اسمعتو بهذا العنوان هوني.
11,corpus-6-test-corpus-26-train,MOS,امشي كبل الى ان اتشوف صيدليه.
26,corpus-6-test-corpus-26-train,MOS,بشقد التغيوقه؟
27,corpus-6-test-corpus-26-train,MOS,اشون اطيق اساعدك؟
30,corpus-6-test-corpus-26-train,MOS,غوح لليساغ عد ثالث زاويه.
50,corpus-6-test-corpus-26-train,MOS,اتغيذ كريمه وشكر بالقهوي مالتك؟
64,corpus-6-test-corpus-26-train,MOS,تطيق تصرفلي شيك قيمتو ميتين دولار؟
74,corpus-6-test-corpus-26-train,MOS,اذا لازم يبين، رجاءا اتصل بيي.
86,corpus-6-test-corpus-26-train,MOS,وين مكان الجيخانه؟
87,corpus-6-test-corpus-26-train,MOS,اغيد سترة اطفال.
91,corpus-6-test-corpus-26-train,MOS,اوكي. اتكلف خميسي وثمانين سنت للبريد الاعتيادي وثلاث دولارات بالضبط اضافية للتوصيل الخاص.
120,corpus-6-test-corpus-26-test,MOS,لو كنتو بمكانك كان اشتغيتونو.
129,corpus-6-test-corpus-26-train,MOS,هل غاح اواجه اي صعوبات مع الجمارك؟
130,corpus-6-test-corpus-26-train,MOS,عندك حذاء رسمي عغيض مكان الاصابع؟
140,corpus-6-test-corpus-26-train,MOS,لا، ممكن اقترح عليكم غرفة مزدوجة لاستخدام ويحد امبدالو؟ عدنه ويحدة منها.
143,corpus-6-test-corpus-26-train,MOS,اغيد كيرلي قوي، رجاءا.
145,corpus-6-test-corpus-26-train,MOS,هيه تغيد بيره.
157,corpus-6-test-corpus-26-train,MOS,صباح الخير. اشونك؟
158,corpus-6-test-corpus-26-train,MOS,اسف انو لازم اشوف شوية اوراق اثبات شخصية.
169,corpus-6-test-corpus-26-train,MOS,اي نوع من الصوص؟
170,corpus-6-test-corpus-26-train,MOS,هذا شوية بيغد. تطيق تحمينو؟
173,corpus-6-test-corpus-26-test,MOS,اسف، هذا المكان محجوز من قبل.
176,corpus-6-test-corpus-26-train,MOS,انا مليح. بس تطيق تتصل بصديقي؟
177,corpus-6-test-corpus-26-test,MOS,اشكرك، هذا يكفي.
184,corpus-6-test-corpus-26-train,MOS,منو صديقك المفضل؟
187,corpus-6-test-corpus-26-train,MOS,يوم الصحة والرياضة تسعه تشرين الاول هو عطلة وطنيي هدفا تعزز الصحة مال الشعب.
192,corpus-6-test-corpus-26-train,MOS,تغيدني اجيك تحت الغطا مال السيارة؟
206,corpus-6-test-corpus-26-train,MOS,تقدر تساعدني القي جنطة السفر مالتي؟
221,corpus-6-test-corpus-26-train,MOS,هل غاح تعمل ترتيبات مسبقا؟
238,corpus-6-test-corpus-26-train,MOS,حصلت على مساعدة، اشكرك.
261,corpus-6-test-corpus-26-train,MOS,لمن تصل هنوك، اسال ويحد اللاخ، رجاءا.
